,포항시,초중고_수,대학교_수,도서관_수,상급종합병원_수,종합병원_수,우체국_수,유통_수,주민센터_수
0,상도동,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
1,대도동,2.1972245773362196,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0
2,해도동,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
3,송도동,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
4,청림동,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
5,일월동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,송내동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,괴동동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,동촌동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,장흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,인덕동,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
11,호동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,효자동,1.0986122886681098,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0
13,지곡동,2.3978952727983707,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
14,대잠동,1.9459101490553132,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
15,이동,1.6094379124341003,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
16,구룡포읍,1.9459101490553132,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
17,연일읍,2.5649493574615367,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453
18,오천읍,2.9444389791664403,0.0,1.6094379124341003,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453
19,대송면,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453
20,동해면,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
21,장기면,2.1972245773362196,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
22,대흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,신흥동,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
24,남빈동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,상원동,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0
26,여천동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,중앙동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,덕산동,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,덕수동,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0
30,대신동,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
31,동빈1가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,동빈2가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,학산동,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,항구동,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0
35,득량동,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
36,학잠동,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,죽도동,2.1972245773362196,0.0,1.0986122886681098,0.0,0.0,0.0,1.6094379124341003,0.6931471805599453
38,용흥동,3.044522437723423,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453
39,우현동,3.044522437723423,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
40,창포동,1.9459101490553132,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0
41,두호동,1.9459101490553132,0.0,1.0986122886681098,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453
42,장성동,2.5649493574615367,0.0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
43,양덕동,2.1972245773362196,0.0,2.1972245773362196,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0
44,환호동,2.1972245773362196,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
45,여남동,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,흥해읍,3.1354942159291497,1.3862943611198906,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.6931471805599453
47,신광면,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
48,청하면,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453
49,송라면,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
50,기계면,1.9459101490553132,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
51,죽장면,2.1972245773362196,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453
52,기북면,1.6094379124341003,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
